CUSTOMRECORD_4572	4572 Custom Record
CUSTOMRECORD_4599	4599 Custom Record
CUSTOMRECORD_4599_CUSTOM_FIELD	4599 GL Export Custom Field
CUSTOMRECORD_4599_SYS_NOTE	4599 System Note
CUSTOMRECORD_4599_TRANCHILD	4599 Transaction Child
CUSTOMRECORD_CU_API_ERROR_TRAN_AUDIT	API Error Transaction Audit
CUSTOMRECORD_CU_API_EVENT_LOG	API Event Log
CUSTOMRECORD_AVA1099BATCHES	AVA1099BATCHES
CUSTOMRECORD_AVA1099CONFIG	AVA1099CONFIG
CUSTOMRECORD_AVA1099SUBSIDIARIES	AVA1099SUBSIDIARIES
CUSTOMRECORD_AVAADDVALFLAG	AVAADDRESSVALFLAG
CUSTOMRECORD_AVAADDRESSVALIDATIONBATCH	AVAADDRESSVALIDATIONBATCH
CUSTOMRECORD_AVAADDVALIDATIONBATCHRECORD	AVAADDVALIDATIONBATCHRECORDS
CUSTOMRECORD_AVACERTCAPTUREBATCH	AVACERTCAPTUREBATCH
CUSTOMRECORD_AVACERTEMAIL	AVACERTEMAIL
CUSTOMRECORD_AVACONFIG	AVACONFIG
CUSTOMRECORD_AVACONFIGSETTINGS	AVACONFIGSETTINGS
CUSTOMRECORD_AVACOORDINATES	AVACOORDINATES
CUSTOMRECORD_AVACUSTOMEREXEMPTMAPPING	AVACUSTOMEREXEMPTMAPPING
CUSTOMRECORD_AVACUSTOMERSTOCERTCAPTURE	AVACUSTOMERSTOCERTCAPTURE
CUSTOMRECORD_AVADELETEOLDRECORD	AVADELETEOLDRECORDBATCH
CUSTOMRECORD_AVAENTITYUSECODES	AVAENTITYUSECODES
CUSTOMRECORD_AVAENTITYUSEMAPPING	AVAENTITYUSEMAPPING
CUSTOMRECORD_AVAIMSBATCH	AVAIMSBATCH
CUSTOMRECORD_AVAIMSDETAILS	AVAIMSDETAILS
CUSTOMRECORD_AVAITEMMAPPING	AVAITEMMAPPING
CUSTOMRECORD_AVARECALCULATEBATCH	AVARECALCULATEBATCH
CUSTOMRECORD_AVARECONCILEBATCH	AVARECONCILEBATCH
CUSTOMRECORD_AVARECONCILEBATCHRECORDS	AVARECONCILEBATCHRECORDS
CUSTOMRECORD_AVASHIPPINGCODES	AVASHIPPINGCODES
CUSTOMRECORD_AVASHIPPINGITEMCODES	AVASHIPPINGITEMCODES
CUSTOMRECORD_AVASUBSIDIARIES	AVASUBSIDIARIES
CUSTOMRECORD_AVATAXHEADERDETAILS	AVATAXHEADERDETAILS
CUSTOMRECORD_AVATRANSACTIONLOGS	AVATRANSACTIONLOGS
CUSTOMRECORD_AVATWOWAYIMSBATCH	AVATWOWAYIMSBATCH
CUSTOMRECORD_AVATWOWAYIMSDETAILS	AVATWOWAYIMSDETAILS
CUSTOMRECORD_AVAUSETAXHEADERDETAILS	AVAUSETAXHEADERDETAILS
CUSTOMRECORD_VATADDRESSES	AVAVATADDRESSES
CUSTOMRECORD_VENDORVATADDRESSES	AVAVENDORVATADDRESSES
CUSTOMRECORD_SUITEL10N_JP_NON_OP_DAY	Annual Holiday Date
CUSTOMRECORD_CU_APPROVAL_DELEGATE	Approval Delegate
CUSTOMRECORD_ASYNC_REST_JOB	Async REST Job
CUSTOMRECORD_ATLAS_BDW_TASK_TYPE	Atlas BDW Task Type
CUSTOMRECORD_BDW_BUNDLE	BDW Bundle
CUSTOMRECORD_BDW_BUNDLE_FLDR_CLN	BDW Bundle Folder Cleanup
CUSTOMRECORD_BDW_BUNDLE_TEMPLATE	BDW Bundle Template
CUSTOMRECORD_BDW_CENTER_TAB_ASSIGN	BDW Center Tab Assignment
CUSTOMRECORD_ATLAS_BDW_CL_STEP	BDW Checklist Step
CUSTOMRECORD_ATLAS_BDW_CL_STEP_LIST	BDW Checklist Step List
CUSTOMRECORD_ATLAS_BDW_CL_STEP_TYPE	BDW Checklist Step Type
CUSTOMRECORD_BDW_COUNTRY	BDW Country
CUSTOMRECORD_BDW_CUSTOM_FLD_UPDATE	BDW Custom Field Update
CUSTOMRECORD_BDW_DASHBOARD_TILE	BDW Dashboard Tile
CUSTOMRECORD_BDW_DASH_TILE_RPT_LINK	BDW Dashboard Tile Report Link
CUSTOMRECORD_BDW_DISABLE_FEATURE	BDW Disable Feature
